lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
0.00010894711767508338,313,,,,,,,,,,,,,,,,,
0.00010894711767508338,313,,,,,,,,,,,,,,,,,
,313,0.0010344934416934848,0.0192123930901289,0.07473890483379364,0.25706011056900024,0,,,,,,,,,,,,
,314,,,,,0,0.005359056871384382,0.033550363034009933,0.08675859123468399,0.405462384223938,,,,,,,,
0.00011792282039066224,627,,,,,,,,,,,,,,,,,
0.00011792282039066224,627,,,,,,,,,,,,,,,,,
,627,0.0005167426425032318,0.018053533509373665,0.07847926020622253,0.23004207015037537,1,,,,,,,,,,,,
,629,,,,,1,0.0009473244426771998,0.019783983007073402,0.087018683552742,0.23149028420448303,,,,,,,,
0.00012689852310624107,941,,,,,,,,,,,,,,,,,
0.00012689852310624107,941,,,,,,,,,,,,,,,,,
,941,0.0005872687324881554,0.01836574822664261,0.10765822231769562,0.17059306800365448,2,,,,,,,,,,,,
,944,,,,,2,0.0009674036991782486,0.020150696858763695,0.08676071465015411,0.23706358671188354,,,,,,,,
0.0001358742258218199,1255,,,,,,,,,,,,,,,,,
0.0001358742258218199,1255,,,,,,,,,,,,,,,,,
,1255,0.0012399576371535659,0.03181964159011841,0.0767490416765213,0.41459327936172485,3,,,,,,,,,,,,
,1259,,,,,3,0.0008261638577096164,0.01828887313604355,0.08690134435892105,0.2139580249786377,,,,,,,,
0.00014484992853739878,1569,,,,,,,,,,,,,,,,,
0.00014484992853739878,1569,,,,,,,,,,,,,,,,,
,1569,0.00036745378747582436,0.017903298139572144,0.08439596742391586,0.2121344953775406,4,,,,,,,,,,,,
,0,,,,,,,,,,0.0005865204147994518,0.016841359436511993,0.08450113981962204,0.19958508014678955,,,,
,1,,,,,,,,,,0.0004298143903724849,0.015461827628314495,0.08850188553333282,0.1773844063282013,,,,
,2,,,,,,,,,,0.0005166407790966332,0.01610954850912094,0.08441152423620224,0.1905224323272705,,,,
,3,,,,,,,,,,0.0003865576582029462,0.015328684821724892,0.07664220035076141,0.20031239092350006,,,,
,4,,,,,,,,,,0.0013722897274419665,0.022526785731315613,0.10486681759357452,0.21747663617134094,,,,
,5,,,,,,,,,,0.0007555077318102121,0.018922684714198112,0.07964268326759338,0.23755356669425964,,,,
,6,,,,,,,,,,0.0008204446639865637,0.01880677044391632,0.08910961449146271,0.21288782358169556,,,,
,7,,,,,,,,,,0.0005320717464201152,0.017553918063640594,0.07899613678455353,0.23082774877548218,,,,
,8,,,,,,,,,,0.0003743035485967994,0.01560183521360159,0.09539064764976501,0.1644529104232788,,,,
,9,,,,,,,,,,0.0007376118446700275,0.019977599382400513,0.07842157781124115,0.25986260175704956,,,,
,10,,,,,,,,,,0.0010547790443524718,0.019239701330661774,0.10230311006307602,0.18666982650756836,,,,
,11,,,,,,,,,,0.0006618641200475395,0.017848894000053406,0.08864878118038177,0.2019791454076767,,,,
,12,,,,,,,,,,0.00038073791074566543,0.01643214374780655,0.10176628082990646,0.1624409556388855,,,,
,13,,,,,,,,,,0.0006231145234778523,0.0184673760086298,0.0741141140460968,0.24940630793571472,,,,
,14,,,,,,,,,,0.0009313088958151639,0.020330067723989487,0.07723917067050934,0.2674512267112732,,,,
,15,,,,,,,,,,0.00027154642157256603,0.01323754247277975,0.07119487226009369,0.18636594712734222,,,,
,16,,,,,,,,,,0.0007906176033429801,0.020118487998843193,0.08756016194820404,0.22877413034439087,,,,
,17,,,,,,,,,,0.0010020817862823606,0.02236202172935009,0.08663537353277206,0.2578524947166443,,,,
,18,,,,,,,,,,0.0004691540962085128,0.01608366146683693,0.07703500986099243,0.21114838123321533,,,,
,19,,,,,,,,,,0.0010130498558282852,0.019752342253923416,0.09437382221221924,0.20813246071338654,,,,
,20,,,,,,,,,,0.0005132297519594431,0.017362505197525024,0.08804371953010559,0.19986477494239807,,,,
,21,,,,,,,,,,0.0008260656613856554,0.02017492987215519,0.09286387264728546,0.22015193104743958,,,,
,22,,,,,,,,,,0.001590711297467351,0.0238549392670393,0.10115333646535873,0.23540717363357544,,,,
,23,,,,,,,,,,0.0007463271613232791,0.019461456686258316,0.0746350884437561,0.2594718635082245,,,,
,24,,,,,,,,,,0.0006091926479712129,0.01701849326491356,0.08395817875862122,0.20153576135635376,,,,
