lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
0.00010871406959152799,32,,,,,,,,,,,,,,,,,
0.00010871406959152799,32,,,,,,,,,,,,,,,,,
0.00010871406959152799,32,,,,,,,,,,,,,,,,,
0.00010871406959152799,32,,,,,,,,,,,,,,,,,
,32,0.00016525565297342837,0.0070729642175138,0.08901231735944748,0.0794605016708374,0,,,,,,,,,,,,
,33,,,,,0,0.0003927427751477808,0.009573246352374554,0.09670308977365494,0.10073111951351166,,,,,,,,
0.00011770045385779124,65,,,,,,,,,,,,,,,,,
0.00011770045385779124,65,,,,,,,,,,,,,,,,,
0.00011770045385779124,65,,,,,,,,,,,,,,,,,
0.00011770045385779124,65,,,,,,,,,,,,,,,,,
,65,0.0013766250340268016,0.016894139349460602,0.10571175068616867,0.15981324017047882,1,,,,,,,,,,,,
,67,,,,,1,0.0004225883458275348,0.009915384463965893,0.09670303761959076,0.10285384207963943,,,,,,,,
0.00012668683812405447,98,,,,,,,,,,,,,,,,,
0.00012668683812405447,98,,,,,,,,,,,,,,,,,
0.00012668683812405447,98,,,,,,,,,,,,,,,,,
0.00012668683812405447,98,,,,,,,,,,,,,,,,,
,98,0.00024119978479575366,0.0070443591102957726,0.08687728643417358,0.0810840055346489,2,,,,,,,,,,,,
,101,,,,,2,0.0004053330048918724,0.009402545168995857,0.09670304507017136,0.09973414242267609,,,,,,,,
0.0001356732223903177,131,,,,,,,,,,,,,,,,,
0.0001356732223903177,131,,,,,,,,,,,,,,,,,
0.0001356732223903177,131,,,,,,,,,,,,,,,,,
0.0001356732223903177,131,,,,,,,,,,,,,,,,,
,131,0.00020212563686072826,0.007751922123134136,0.10219311714172363,0.07585561275482178,3,,,,,,,,,,,,
,135,,,,,3,0.0003605785605031997,0.009237600490450859,0.09670303761959076,0.09666024893522263,,,,,,,,
0.00014465960665658095,164,,,,,,,,,,,,,,,,,
0.00014465960665658095,164,,,,,,,,,,,,,,,,,
0.00014465960665658095,164,,,,,,,,,,,,,,,,,
0.00014465960665658095,164,,,,,,,,,,,,,,,,,
,164,0.00017114580259658396,0.006704993546009064,0.09849074482917786,0.06807739287614822,4,,,,,,,,,,,,
,0,,,,,,,,,,0.00015337811782956123,0.006594005972146988,0.09195023030042648,0.07171276211738586,,,,
,1,,,,,,,,,,5.0187562010250986e-05,0.004899393301457167,0.039159953594207764,0.12511231005191803,,,,
,2,,,,,,,,,,0.0008266029180958867,0.0141166802495718,0.07243724912405014,0.19488148391246796,,,,
,3,,,,,,,,,,0.0005495151272043586,0.01313180010765791,0.09695577621459961,0.1354411244392395,,,,
,4,,,,,,,,,,0.0001737278507789597,0.007150569930672646,0.08865968883037567,0.08065186440944672,,,,
,5,,,,,,,,,,0.00010683361324481666,0.005878382828086615,0.05721943825483322,0.10273399949073792,,,,
