val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch,epoch,test_loss_step,test/mae_step,test/avg_gt_step,test/relative_mae_step
0.0001748198119457811,0.008642379194498062,0.09195023030042648,0.09398973733186722,0,,,,,,,,,
,,,,10709,0.0001748198119457811,0.008642379194498062,0.09195023030042648,0.09398973733186722,314,,,,
,,,,0,,,,,,0.0003371024504303932,0.01247559767216444,0.11246316134929657,0.11093051731586456
,,,,1,,,,,,0.0004587326548062265,0.013250111602246761,0.14781059324741364,0.0896424949169159
,,,,2,,,,,,0.001853885012678802,0.02301323041319847,0.14905139803886414,0.15439793467521667
,,,,3,,,,,,0.0006382546853274107,0.017862467095255852,0.16673754155635834,0.10712923854589462
