lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
1.870090634441088e-06,32,,,,,,,,,,,,,,,,,
1.870090634441088e-06,32,,,,,,,,,,,,,,,,,
1.870090634441088e-06,32,,,,,,,,,,,,,,,,,
1.870090634441088e-06,32,,,,,,,,,,,,,,,,,
,32,0.00030633850838057697,0.00901122111827135,0.08901231735944748,0.10123565047979355,0,,,,,,,,,,,,
,33,,,,,0,0.0003848817723337561,0.009387885220348835,0.09670308977365494,0.09828992933034897,,,,,,,,
2.7673716012084596e-06,65,,,,,,,,,,,,,,,,,
2.7673716012084596e-06,65,,,,,,,,,,,,,,,,,
2.7673716012084596e-06,65,,,,,,,,,,,,,,,,,
2.7673716012084596e-06,65,,,,,,,,,,,,,,,,,
,65,0.0004171036125626415,0.011552358977496624,0.10571175068616867,0.10928168147802353,1,,,,,,,,,,,,
,67,,,,,1,0.0004105142143089324,0.009482009336352348,0.09670303761959076,0.09936356544494629,,,,,,,,
3.6646525679758317e-06,98,,,,,,,,,,,,,,,,,
3.6646525679758317e-06,98,,,,,,,,,,,,,,,,,
3.6646525679758317e-06,98,,,,,,,,,,,,,,,,,
3.6646525679758317e-06,98,,,,,,,,,,,,,,,,,
,98,0.000535444647539407,0.010883207432925701,0.08687728643417358,0.1252710223197937,2,,,,,,,,,,,,
,101,,,,,2,0.00042185591883026063,0.009380062110722065,0.09670304507017136,0.09879671782255173,,,,,,,,
4.561933534743202e-06,131,,,,,,,,,,,,,,,,,
4.561933534743202e-06,131,,,,,,,,,,,,,,,,,
4.561933534743202e-06,131,,,,,,,,,,,,,,,,,
4.561933534743202e-06,131,,,,,,,,,,,,,,,,,
,131,0.0008181683951988816,0.01378200575709343,0.10219311714172363,0.13486234843730927,3,,,,,,,,,,,,
,135,,,,,3,0.0003767611342482269,0.009155734442174435,0.09670303761959076,0.09543175995349884,,,,,,,,
5.459214501510575e-06,164,,,,,,,,,,,,,,,,,
5.459214501510575e-06,164,,,,,,,,,,,,,,,,,
5.459214501510575e-06,164,,,,,,,,,,,,,,,,,
5.459214501510575e-06,164,,,,,,,,,,,,,,,,,
,164,0.0013864035718142986,0.01737167499959469,0.09849074482917786,0.1763787418603897,4,,,,,,,,,,,,
,169,,,,,4,0.00041410999256186187,0.009876908734440804,0.09670303761959076,0.10286850482225418,,,,,,,,
6.356495468277946e-06,197,,,,,,,,,,,,,,,,,
6.356495468277946e-06,197,,,,,,,,,,,,,,,,,
6.356495468277946e-06,197,,,,,,,,,,,,,,,,,
6.356495468277946e-06,197,,,,,,,,,,,,,,,,,
,197,0.00018653777078725398,0.00736687146127224,0.09643109887838364,0.0763951763510704,5,,,,,,,,,,,,
,203,,,,,5,0.00039335517794825137,0.00940913800150156,0.09670302271842957,0.09858273714780807,,,,,,,,
7.253776435045318e-06,230,,,,,,,,,,,,,,,,,
7.253776435045318e-06,230,,,,,,,,,,,,,,,,,
7.253776435045318e-06,230,,,,,,,,,,,,,,,,,
7.253776435045318e-06,230,,,,,,,,,,,,,,,,,
,230,0.0009929140796884894,0.01873083785176277,0.1129608005285263,0.16581712663173676,6,,,,,,,,,,,,
,237,,,,,6,0.0004033128498122096,0.009695291519165039,0.09670304507017136,0.10158517956733704,,,,,,,,
8.15105740181269e-06,263,,,,,,,,,,,,,,,,,
8.15105740181269e-06,263,,,,,,,,,,,,,,,,,
8.15105740181269e-06,263,,,,,,,,,,,,,,,,,
8.15105740181269e-06,263,,,,,,,,,,,,,,,,,
,263,0.0003498741134535521,0.009318236261606216,0.09553974866867065,0.09753254801034927,7,,,,,,,,,,,,
,271,,,,,7,0.00041391930426470935,0.009603229351341724,0.09670305252075195,0.10087853670120239,,,,,,,,
9.048338368580061e-06,296,,,,,,,,,,,,,,,,,
9.048338368580061e-06,296,,,,,,,,,,,,,,,,,
9.048338368580061e-06,296,,,,,,,,,,,,,,,,,
9.048338368580061e-06,296,,,,,,,,,,,,,,,,,
,296,9.589058754500002e-05,0.005971828475594521,0.08381583541631699,0.07124939560890198,8,,,,,,,,,,,,
,305,,,,,8,0.00038789177779108286,0.009143445640802383,0.09670303761959076,0.09672760218381882,,,,,,,,
9.945619335347432e-06,329,,,,,,,,,,,,,,,,,
9.945619335347432e-06,329,,,,,,,,,,,,,,,,,
9.945619335347432e-06,329,,,,,,,,,,,,,,,,,
9.945619335347432e-06,329,,,,,,,,,,,,,,,,,
