lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
,5,,,,,,,,,,0.002280374988913536,0.029865771532058716,0.05721943825483322,0.5219513773918152,,,,
,6,,,,,,,,,,0.002206352073699236,0.030505632981657982,0.025477152317762375,1.1973717212677002,,,,
,7,,,,,,,,,,0.0027470383793115616,0.036756422370672226,0.06866084039211273,0.5353330373764038,,,,
,8,,,,,,,,,,0.0008466431172564626,0.0181485116481781,0.11188463866710663,0.16220735013484955,,,,
,9,,,,,,,,,,0.002320102648809552,0.03211579471826553,0.10694815963506699,0.30029308795928955,,,,
,10,,,,,,,,,,0.0010703562293201685,0.019688613712787628,0.08197197318077087,0.24018710851669312,,,,
,11,,,,,,,,,,0.0021818834356963634,0.03145824372768402,0.07832591235637665,0.4016326069831848,,,,
,12,,,,,,,,,,0.0016612618928775191,0.026346683502197266,0.07550571858882904,0.3489362299442291,,,,
,13,,,,,,,,,,0.002618156373500824,0.03510656952857971,0.06541398167610168,0.5366829037666321,,,,
,14,,,,,,,,,,0.0013459095498546958,0.026179373264312744,0.1331549882888794,0.1966082602739334,,,,
,15,,,,,,,,,,0.0011224232148379087,0.022885318845510483,0.08672043681144714,0.2638975977897644,,,,
,16,,,,,,,,,,0.001005703117698431,0.01665598526597023,0.053386859595775604,0.3119865357875824,,,,
,169,,,,,4,,,,,,,,,0.0017815809696912766,0.026647677645087242,0.07917174696922302,0.4039073884487152
,169,,,,,4,0.0011431727325543761,0.022449739277362823,0.09669742733240128,0.23478379845619202,,,,,,,,
0.00015362976406533576,197,,,,,,,,,,,,,,,,,
0.00015362976406533576,197,,,,,,,,,,,,,,,,,
0.00015362976406533576,197,,,,,,,,,,,,,,,,,
0.00015362976406533576,197,,,,,,,,,,,,,,,,,
,197,0.0024988604709506035,0.04026257246732712,0.09639596939086914,0.41767895221710205,5,,,,,,,,,,,,
,203,,,,,5,0.00217055669054389,0.03299599885940552,0.09669739753007889,0.34409746527671814,,,,,,,,
0.00016261343012704174,230,,,,,,,,,,,,,,,,,
0.00016261343012704174,230,,,,,,,,,,,,,,,,,
0.00016261343012704174,230,,,,,,,,,,,,,,,,,
0.00016261343012704174,230,,,,,,,,,,,,,,,,,
,230,0.0006631027208641171,0.017461497336626053,0.12840870022773743,0.13598375022411346,6,,,,,,,,,,,,
,237,,,,,6,0.0012379229301586747,0.023127969354391098,0.09669742733240128,0.2420046180486679,,,,,,,,
0.00017159709618874775,263,,,,,,,,,,,,,,,,,
0.00017159709618874775,263,,,,,,,,,,,,,,,,,
0.00017159709618874775,263,,,,,,,,,,,,,,,,,
0.00017159709618874775,263,,,,,,,,,,,,,,,,,
,263,0.0016904271906241775,0.03092021308839321,0.09729116410017014,0.3178110718727112,7,,,,,,,,,,,,
,271,,,,,7,0.0010268321493640542,0.02050989307463169,0.09669741988182068,0.2149219661951065,,,,,,,,
0.0001805807622504537,296,,,,,,,,,,,,,,,,,
0.0001805807622504537,296,,,,,,,,,,,,,,,,,
0.0001805807622504537,296,,,,,,,,,,,,,,,,,
0.0001805807622504537,296,,,,,,,,,,,,,,,,,
,296,0.0010093143209815025,0.021530425176024437,0.08295231312513351,0.2595517933368683,8,,,,,,,,,,,,
,305,,,,,8,0.0014175970572978258,0.025586552917957306,0.09669744223356247,0.26729023456573486,,,,,,,,
0.00018956442831215972,329,,,,,,,,,,,,,,,,,
0.00018956442831215972,329,,,,,,,,,,,,,,,,,
0.00018956442831215972,329,,,,,,,,,,,,,,,,,
0.00018956442831215972,329,,,,,,,,,,,,,,,,,
